section,configuration,question_id,question,question_type,result,main_takeaway,answerable_retrieval_hit,answer_correct,citation_correct,abstention_correct,avg_response_time_s,avg_chunks_sent_to_llm,namespace,top_k,chunking_strategy,expected_answer,expected_source,generated_answer_short
TAKEAWAY,fixed_top_3,,Recommended configuration,,RECOMMENDED,Use fixed_top_3 as the current recommended configuration: it has the strongest answer correctness among the four while preserving perfect answerable-source retrieval in this run.,100.0%,83.3%,100.0%,100.0%,2.874,2.467,fixed_chunks,3,fixed_size,,,
SUMMARY,fixed_top_3,,All questions,,SUMMARY,Answerable-source retrieval was perfect; answer correctness reflects strict keyword matching.,100.0%,83.3%,100.0%,100.0%,2.874,2.467,fixed_chunks,3,fixed_size,,,
SUMMARY,fixed_top_5,,All questions,,SUMMARY,Answerable-source retrieval was perfect; answer correctness reflects strict keyword matching.,100.0%,79.2%,100.0%,100.0%,2.386,3.933,fixed_chunks,5,fixed_size,,,
SUMMARY,paragraph_top_3,,All questions,,SUMMARY,Answerable-source retrieval was perfect; answer correctness reflects strict keyword matching.,100.0%,79.2%,100.0%,100.0%,2.381,2.533,paragraph_chunks,3,paragraph_aware,,,
SUMMARY,paragraph_top_5,,All questions,,SUMMARY,Answerable-source retrieval was perfect; answer correctness reflects strict keyword matching.,100.0%,70.8%,100.0%,100.0%,2.428,4.0,paragraph_chunks,5,paragraph_aware,,,
QUESTION_RESULT,fixed_top_3,q01,What is the aim of the Ask My Documents project?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,3.232,2,fixed_chunks,3,fixed_size,small configurable RAG system;evidence,"Project_Proposal.docx, paragraph 12","The aim is to design, implement, and evaluate a small configurable RAG system that answers questions using evidence retrieved from user-uploaded documents. [Source 2]"
QUESTION_RESULT,fixed_top_3,q02,What file types can users upload to Ask My Documents?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,3.632,1,fixed_chunks,3,fixed_size,PDF;DOCX;TXT,"Project_Proposal.docx, paragraph 6","PDF, DOCX, and TXT files. [Source 1]"
QUESTION_RESULT,fixed_top_3,q03,What chunking strategies will the experiment compare?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,1.74,1,fixed_chunks,3,fixed_size,fixed-size chunking;paragraph-aware chunking,"Project_Proposal.docx, paragraph 34",They will compare fixed-size chunking with a simple paragraph-aware chunking method. [Source 1]
QUESTION_RESULT,fixed_top_3,q04,What are credit scores used to estimate?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.253,3,fixed_chunks,3,fixed_size,pay back money;borrow,"CFPB_Understand_Your_Credit_Score.pdf, page 1",Credit scores are used to estimate how likely you are to pay back money you borrow. [Source 1]
QUESTION_RESULT,fixed_top_3,q05,Why can a person have more than one credit score?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.502,3,fixed_chunks,3,fixed_size,different products;different credit scoring formulas;different credit reporting sources,"CFPB_Understand_Your_Credit_Score.pdf, page 1","You can have more than one credit score because: lenders use different scores for different products, there are many different credit scoring formulas, and information can come from different credit reporting sources. For example, a credit "
QUESTION_RESULT,fixed_top_3,q06,What personal information is used for on a credit report?,Answerable,REVIEW_ANSWER_MATCH,"Retrieval and citation succeeded, but strict keyword answer check did not pass.",YES,NO,YES,OK,2.413,3,fixed_chunks,3,fixed_size,personal information;confirm;accounts,"CFPB_Understand_Your_Credit_Report.pdf, page 1",It is used to confirm you are the person who opened the accounts listed on the report. [Source 1]
QUESTION_RESULT,fixed_top_3,q07,How often can someone request a free credit report from each nationwide credit reporting company?,Answerable,REVIEW_ANSWER_MATCH,"Retrieval and citation succeeded, but strict keyword answer check did not pass.",YES,NO,YES,OK,2.78,3,fixed_chunks,3,fixed_size,once every 12 months;Equifax;Experian;TransUnion,"CFPB_Understand_Your_Credit_Report.pdf, page 3","You can request one free credit report per 12 months from each of the three nationwide credit reporting companies (Equifax, Experian, and TransUnion). Equifax also offers six free reports per 12 months until December 31, 2026. [Source 1] [S"
QUESTION_RESULT,fixed_top_3,q08,What does the Fair Credit Reporting Act promote?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.391,3,fixed_chunks,3,fixed_size,accuracy;fairness;privacy,"CFPB_FCRA_Summary_of_Rights.pdf, page 1","The Fair Credit Reporting Act promotes the accuracy, fairness, and privacy of information in the files of consumer reporting agencies. [Source 1]"
QUESTION_RESULT,fixed_top_3,q09,What must consumer reporting agencies do with inaccurate incomplete or unverifiable information?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,3.609,3,fixed_chunks,3,fixed_size,correct;delete;inaccurate;incomplete;unverifiable;30 days,"CFPB_FCRA_Summary_of_Rights.pdf, page 2","They must correct or delete inaccurate, incomplete, or unverifiable information (usually within 30 days) and must investigate your dispute unless it is frivolous. [Source 1]"
QUESTION_RESULT,fixed_top_3,q10,What workplace right does the OSH Act give workers?,Answerable,PASS,"Expected source retrieved, answer matched key phrases, and citation was valid.",YES,YES,YES,OK,2.177,3,fixed_chunks,3,fixed_size,safe;healthful;working conditions,"OSHA_Workers_Rights.pdf, page 5",Workers have the right to safe and healthful working conditions. [Source 1]
